original_query,changed_query
최근에 법원에 서류제출한게있는데일반휴대폰번호로 전화 와서 법원쪽?인데 내일 등기받을수있냐해서못받는다고 하니url 사건24.kr ? 로 들어가서 본인인증해 달라고해서 사건번호 확인하라고하여거기까지만 진행했습니다.사건조회가 되었으나 무슨 불법자금세탁 성매매 이상한 죄목들이 나열확인되었으며그것을  사진을찍어서 휴대폰 어디로 보내달라고했는데 그때부터 뭔가 직감이 이상해서 확인해본다고하고 전화끊었습니다. 강압적으로 통화를 하여 끌려가긴했지만아무문제없을까요..?,법원이나 다른 기관에서 오는 전화인지 확인하기 위해 어떻게 해야 할까요?
대출나라에서 대출을 진행하였고 수수료를 받아갔습니다.수수료입금 후 아직까지 대출 진행을 하지 못하고 연락도 안됍니다.수수료입금 했던 계좌를 불법대출 목적으로 계좌정지 가능한가요,대출 진행 후 수수료를 지불했으나 진행되지 않았을 경우 어떻게 해야 하나요?
"안녕하세요 제가 몇달간 코인사무실에서 일을하였습니다그후로 몇일전 긴급체포되어 2일간 유치장에 있다가 석방되었습니다…일하기전 절때나쁜일이라고 안해서 일을하였고 그런데 하다보니 사무실에서 대포통장을 사용한다는것을 알았습니다저의 주업무가 입금을받은후 확인후 코인승인을 누르고 업체 에게 돈을 송금하는 일입니다당연히 보이스피싱도 아니고 피해된 사람또한 없습니다1.제가 체포될때 전자금융거래법 위반으로 체포되었는데죄 명이 바뀔수도 있는건가요?2. 다른곳에 물어보니 사기방조죄라고 하던데 처벌이 어떻게되나요?3. 7년전 벌금 낸적후로 초범인데 제가 받을 처벌이 어떻게되나요? 너무걱정입니다..4. 저랑 같이석방된 사람 총4명인데 나머지는 관리자,사장입니다 물론 대포통장도 그분들이 가지고 오셨구요처벌이쎌까요?","안녕하세요. 코인사무실에서 일하다가 법적인 문제로 체포된 경험이 있습니다. 전자금융거래법 관련 혐의로 체포되었는데, 죄명이 변경될 수 있을까요? 그리고 사기방조죄로 처벌될 가능성이 있다면 어떤 처벌을 받을 수 있는지 궁금합니다. 또한, 이전에 벌금형을 받은 적이 있는데, 이번에는 처벌이 어떻게 될지 걱정입니다. 함께 석방된 관리자와 사장도 있는데, 이분들의 처벌은 어떻게 될까요?"
제가 몃일전 인스타 광고를보고 부업을찾고있었는데 일당 이라는말에 혹해서 광고를 누르니 문자로 지원하셨냐고 연락왔더라구요...바보같이 제힘든것만보고 지원을해버린거죠..코인 상장하는거래소다 이거래소에서 저희가 애기해주시는데로만 하면 된다..해서 제계좌로 돈이 들어오면 빗썸에서 매수해서 해외 오케이엑스라는곳에 내지갑에받고 자기회사로보내주면된다 그러고아려운거 같아서 못하겠다 그래서 그뒤로 주말에모든 통장 거래 정지가 된거죠..다알아봤는데 경찰서에서 연락오면 기다려서 소명하라구하는데..저 처벌될까봐 무섭고 일하는데 통장도 막혀서 막막합니다..죽고싶습니다 진짜..도움좀 주세요 제발..,"제가 며칠 전 인스타 광고를 보고 부업을 찾다 이상한 거래를 하게 되었고, 지금 통장이 막혀서 걱정입니다. 경찰서에서 연락이 올 수도 있다고 해서 불안한데, 이 상황에서 어떻게 해야 할지 도움을 받을 수 있을까요?"
제가 부끄럽지만 30만원 빌려 50만원갚고20만원 빌려 38만원 갚고 이런식의 사채를 빌려쓴게 많이 있습니다.갚기도 몇 번 갚았습니다. 그런데 이번 주에 일이 생겨 2일만 뒤에 갚게 양해 좀 부탁드린다 했더니 그대로 부모님 지인 회사 전화해서 온갖 욕설을 퍼부었습니다.그래서 회사를 그만 두게 되었고그냥 죽고싶어서 죽으려고도 했는데끊임 없는 협박에 죽을때 죽더라도뭐라도 하고 죽자는 생각입니다.어떻게해야할까요,이런 상황에서 어떻게 문제를 해결할 수 있을까요?
일반 회사인줄알고 입사해 근로계약서 까지 썼고 알고보니 보이스피싱 수거책 일이었습니다..계약금을 받아오라하여 왜 현금으로 받냐했더니 세금문제 때문에 그렇다고..정말 의심도 못했습니다 너무 치밀해서..처벌은 어떻게 나올지 궁금하고 조사전화올때마다 심장이 두근거리고 그냥 살고싶지가 않습니다..제가 능력이된다면 피해금액들 다 변제해드리고싶지만 전혀 그럴수도 없구요..어떤처벌이 나올까요? 아무것도 해결하지못하고 삶의 의욕만 떨어지네요.. 제목숨으로라도 조금의 죄를 갚을수있을런지..어떻게해야할까요 변호사선임할수있는능력도 안됩니다..어떻게될까요 저는..,이 상황을 어떻게 해결할 수 있을까요?
"보험설계사쪽에서 알바하는 친구가 퇴사를 하려하는데그쪽 팀장님이 자기네 실적을 채워야 한다며 친구에게 이야기해서 저에게 전화를 했는데요보험사쪽에서 10개월치를 돈을 한꺼번에 넣어주고 저는 돈내는거 없고 나중에 해지하면 된다는데잘 이해가 안가서요그래서 계좌번호만 알려달라는 식이더라구여 이렇게 해도 괜찮은건가요개인정보도있고 그런데 이렇게 하는게 가능한건지요,,,",이렇게 진행하는 것이 안전한 방법인지 궁금합니다.
안녕하셔요... 우선 제가 6 월경 다른 사람 명의 휴대폰으로 소액결제를 하여서 2019.8.30일 벌금50 만원 약식기소 판결을 받앗습니다.. 그리고 중간 9 월경 검찰청이랑 법원은 다르지만 편의점에서 담배 한갑을 훔쳐 잡혀서 또 벌금 70만의 약식기소 판결 받앗구요.. 그리고 정말 문제는 10월초에 또다시 6월의 그분의 휴대폰으로 몰래 소액결제및 다른걸루 300만원의 피해를 입혀서 그분 가족들이 저를 사기로 민.형사 고소를 하여 경찰서에서 1차조사받구 귀가하고 1차조사할때 거주지에 대해 거짖말을하여 2차조사까지 하구 귀가햇습니다. 형사님은 왜 살고있는곳을 허위로 진술햇냐면 도주할려고 그런거 아니냐구 하셔서 절대 그런거 아니구 사실대로 다 성실히 조사받구 왓습니다..형사님 말로는 죄질이 너무 안좋다고 그러셧고..2틀후에 조사 자료를 검찰로 송치하신다하시구..언제 어디서든 전화해서 오라고 하면 바로 와야된다구 계속 그말만하시구 집으로 돌아가라고 하셧습니다.. 우선 제가 해선 안될짖을 저질러서 정말 죄송합니다.. 검찰로 자료 송치되면 구속될까요?...가족분들이 합의금을 천만원 이상 요구하셔서 그만한 돈이 없기에..아직 합의는 못봣습니다.. 혹시 벌금형이나 집행유예는 힘들까요? 잘못을 저질러서 하루 하루 지옥입니다. . 긴글 읽어 주셔서 감사하구 진심어린 답변부탁드리겟습니다,벌금형이나 집행유예를 받을 가능성은 어떻게 될까요?
전달책으로 1회 일하였고 보이스피싱일수도 있다는 생각에 다음날 신고접수하고 자수하였습니다 그리고 신고접수하러 왔을때 상황설명해드리고 바로 800만원중 600만원를 합의 했습니다. 또한 피해자의 처벌불원서(합의서)와 탄원서를 제출한 상태이고 경찰조사는 아직 이루어 지지 않았습니다 이게 미필적 고의가 인정될 수 있다는 생각에 불안합니다. 보이스피싱전달책 책임 관련 답변 부탁드립니다.,"보이스피싱 전달책으로 일한 후 자수하고 합의를 했는데, 이 경우 법적인 책임이 어떻게 될까요?"
"안녕하세요횡령에 대하여 문의 사항이 있습니다. 다름이 아니오라 제가 회사에서 7개월동안 5천만원 정도를 횡령했다고 회사에선 그렇게 말하고 있고 일부분은 인정했습니다. 그래서 매월 얼마씩 갚고 있다가 2개월 갚지를 못했습니다. 당연히 계속 전액 변제 할때까지는 갚을 예정입니다.그런데 회사에선 계속 전화 오고 ""갚을 거다""라고 했습니다. 당연히 갚을거구요회사에선 고소 한다고 합니다. 많이는 아니더라도 조금 갚은 상황 입니다. 만약 회사에 고소 하면 저는 구속되는건지 아님 구속은 않되는지 궁금합니다.","안녕하세요, 회사와의 금전 문제로 인해 법적 절차에 대한 궁금증이 있습니다. 대금 상환 중인 상황에서 제가 어떤 법적 결과를 예상할 수 있을까요?"
금융결제원에서 등기우편이 온다고 연락이 왔습니다.정보제공 통보서로24.11월달에 제공을 하엿 경찰청에서 수사목적이라고 하는데이거 큰일난건가요??전화로 물어 보니 불법토토로인한거라고 하고....일정금액넘어가면 조사를 해야한다는데...비록 호기심에 한 사실이 있지만 뼈저리게 후회하고 반성하고있어 손을 뗀지 5~6개월 됬습니다... 어떻게해야하나요 ㅜㅜ,비슷한 상황에서 어떤 조치를 취해야 할지 궁금합니다. 어떻게 해결할 수 있을까요?
체크카드 양도했다가 보이스피싱 관련자가 제 카드로 사기를 쳤습니다. 그런데 제가 피해자였다가 카드를 양도했다는 이유로 피의자신분으로 바뀌었습니다.제 카드로 피해를 보신분들은(약 900만원) 피해금액 전부 회복된 상태고 저는 이제 검찰조사와 재판도 받게 될거라는 연락을 받았습니다. 피해회복이 되었다해서 어느정도 금방 끝날줄알았는데 재판까지 받아야 한다니 생각보다 시간이 너무 기네요. 시간이 갈수록 불안하기도 합니다. 이런 상황에 전자금융거래법위반 처벌은 어느정도 나올까요..,전자금융거래법위반 처벌은 어떻게 될 수 있을까요?
사업을 하고 있는데 사업 운영이 좀 어려워졌고 자금이 필요했습니다. 그래서 한 지인에게 2억원을 융통해주면 6개월 뒤에 천5백만원을 더 해서 2억천5백만원을 주기로 했습니다. 그런데 제가 사업이 나아지지 않고 여력이 안돼서 원금 절반인 1억만을 줬습니다. 상대방이 채무불이행 사기라고 얘기하더니 고소까지 했는데 이거 채무불이행 사기가 되는건가요? 그럼 사기죄로 실형 사나요? 경찰조사에 나가기로 했는데 어떻게 해야 하나요?,"사업 운영에 어려움이 있어 자금을 조달했는데, 약속한 금액을 모두 상환하지 못하면 법적으로 어떤 문제가 발생할 수 있는지 궁금합니다. 경찰 조사에 대비하려면 어떻게 준비해야 할까요?"
친구들과 술을 마시고 인생네컷에서 주인없는 슈프림 모자를 가져갔습니다.술에 많이 취해 제가 가지고 있는 슈프림 모자인줄 알았나봅니다.모자는 잃어버리게 되었고 신고자 분은 확고히 합의금으로 200만원을 제시합니다.아니면 고소장을 접수하시겠다네요시중에 200만원이라는 돈이 없어 만약 합의를 하지 못한다면 어떤 처벌을 받게 되나요받게 된다면 전과가 남는지 궁금합니다. 아직 사회 초년생이라 너무 무섭습니다..모자는 10만원 대인것 같습니다.,실수로 남의 물건을 가져갔을 때 어떻게 해결해야 하나요?
"제가 2017년도에 중고나라사기,절도죄로 징역 10개월 살고나왔는데요..또 지금 여자친구 핸드폰으로 소액결제를 2달에 걸쳐 230만원가량 또 저질렀는데요신고당하게 된다면 조사받는중에라도 합의할 생각인데요징역 판결받을까요??초범이아니라 징역형 떨어질까요??","제가 과거에 법적 문제가 있었는데, 최근 경제적인 문제 때문에 고민 중입니다. 법적 절차에 대해 조언을 얻을 수 있을까요?"
중국이 어떻게 한국에서 재단 운영 하면서깜쪽같이 속일 수가 있는 거죠?연예인들 자금 세탁 하면서 개념있는 척 한것들돈 맛 자본주의에 살면서?연예인들 그곳에 기부 하니까개념 있는척 따라서 기부한일반 인들도 제대로 속은것.연예인들 전부다 중국 하고 연관됨.자본주의 맛을 아는 연예인들하는 짓은 에라이.니들은 중국의 하수인들.그동안 그 수많은 기부금들 중국에 준거네,중국이 한국에서 재단을 운영하는 방법에는 어떤 것들이 있을까요? 그리고 이러한 기부와 관련된 이야기는 어떤 사실을 포함하고 있을까요?
예를들어 제가 불법 사금융이나 이런 피해를 입으신분들께서 연락을 주셔서 처리를 해드렸는데 가끔씩 기프티콘이나 감사하다고 5천원 이렇게 주시는데 받아도 문제가 없나요??,만약 피해를 입으신 분들께서 감사의 표시로 작은 선물을 주신다면 그것을 받아도 괜찮을까요?
"이벤트업체서 일했는데 제가 따로 다른구성으로 꾸며보고싶어서 그리고 회사나가고 따로 사업해보고싶어스토어 만들었다가 광고따로 안했는데 문의두건이 굴러들어와서 받았습니다.대표몰래 진행했구요, 프리랜서라 제걸로 문의받으면 제 문의건인데 해도되지않나해서 했습니다.재료도 도매시장가서 다사서 직접만들었고, 거의다 제가 사서썼습니다.근데 문제는 작은 재료들을 회사것 한두개 훔쳐썼는데요몇천원어치될것같은데 (예를들어 요리하는데 소금 후추 훔쳐다쓴겁니다)걸렸습니다.사무실내 cctv 증거로 신고한다고 지ㅣ랄하는데어느정도의 죄에 속해있나요?동종업계로 따로문의받아했으니 화난건알겠습니다.사과도했습니다.근데 지금까지 약점잡듯이 계속 신고한다신고한다하네요ㅈ같아서 지금 퇴직상태인데 퇴직금신고하고 끝까지 가보고싶습니다.",직장 동료와의 갈등을 해결하기 위한 좋은 방법은 무엇일까요?
지인이 도박으로 딴 돈을 제 계좌로 환전을 받고그 돈을 제가 보내줘야하는데 꼭 보내줘야하나요,지인이 도박으로 딴 돈을 제 계좌로 환전했는데 이 돈을 보내줘도 될까요?
제가 모르고 보이스피싱 현금수거책 일을 했는데요4번정도 했고 기간은 짧았습니다정말 모르고 했고 제자 지적장애3급 중증입니다6월9일 최종판결이 나오는데벌금이 나올까요? 집행유예 나올까요?징역이 나올까요?5월10일 첫재판을 했는데 검사쪽에서 징역4년을 선고해달라고 했는데 어떻게될지 모르겠어요ㅜㅜ혹시 집행유예가 나오면 해외 못가나요?,"보이스피싱 관련 사건으로 인해 법적 결과가 어떻게 나올지 궁금한데, 집행유예 시 해외여행이 가능한가요?"
성매매.인신매매 악덕업주들이 선불금주고 여자를사고팔고한돈도 다 협박통보보내서 받아주나요? 제가 십여년전. 돈관계에 너무 힘들고 고통스러운일들로 업소에서 선불금으로 돈을받고 이리저리 팔려다니며 지옥같은시간들을보내다. 지금은 형사처벌다받고 파산면책신청해서 면책판결다받고 세월을묻고. 한아이에엄마가되어 금전적으로는 힘들지만 평범하게 살고있습니다. 근데 그때미처 다생각치못한 채권자목록에서빠진 성매매업소업주가 10년이 지나 시효가 8월달이라 얼마안남았다고 고려신용정보에 채권을넘겨서 오늘 2천몇백만원을16일까지안내면 법적조치.압류.차압을한다며 아침부터 통보장우편물이 두개나왔는데. 제가너무 놀라서 거기적힌 담당자번호로 전화해서 물어보니 제말을 못믿겠고.고려신용정보에서는 저한테 차업압류를 당장2주안에 할수가있다하네요..저는 지금 근근히 시간알바로 기초수급.아동수당 나오는걸로 빠듯하지만 이제4살인 딸하나 키우며 어쨧든 잘키워보려고 노력하고살고있는데. 이 지난 지옥같은시간들을 떠올리니 화병이 다시올라와 모든생활이 너무힘들고 아직도 심장이 벌벌떨리고 딸한테 너무부끄럽고 미안한엄마가되네요..당장 제통장이나 집으로 빨간딱지 차업을 할수있다는데. 사실인가요?,10년 전 발생한 채무가 현재 법적 조치가 가능한지 확인할 수 있을까요?
단기 알바를 하는데 사람 뽑으시는 분이 제가 나중에 실업급여 신청해야해서 못할거 같다니까 다른 사람 명의로 빌려서 하라고 하더라구요1. 이러다 걸리면 그 사람 혹은 회사한테도 불이익이 있는거 아닌가요?2. 실업급여 신청은 안했어요 아직 확실하지는 않지만 만약에 나중에 신청하게 된다면 명의를 바꿨으니 서류상으로 걸리지는 않는데 저에게 문제가 생길 수 있나요?안하고 싶은데 아시는 분한테 계속 할 사람 없다고 계속 전화가 와서ㅜ 거절하기가 어렵네요,"다른 사람 명의로 일할 경우, 저나 그 사람, 또는 회사에 문제가 발생할 수 있을까요? 그리고 실업급여 신청 시 문제가 생길 가능성이 있을까요? 이 상황에서 어떻게 거절하는 것이 좋을까요?"
100 만원 대출받는데 선수수료 10%로를 때고 매일 3만원씩 44일을 찍으라는데 이건 신고하면 어떻게 되나요? 인감증명 등본 원초본다주고 계약서 까지 작성했는데,100만원 대출 조건과 관련된 법적 조언을 어디서 받을 수 있을까요?
현재 제가 지인 8명에게 2억8천이란 돈을 투자받았고 주식으로 사람들에게 이자를 지급하고 있었습니다.그런데 현재 주식이 잘안되어 망한상태이며 합의하기 어려운상황입니다.사람들에게 1억 조금넘는돈을 줘왔으며 제가 처음에 투자를 받을당시 나중에 투자를 그만하면 원금을 돌려주겠다는 얘기는 하였으나 망할수도 있다는 얘기도 같이하였습니다.그리고 일부 투자받은 금액을 개인사비로 사용한 내역이있는 상태인데이렇게 된다면 유사수신행위 및 사기죄에 해당되는지 또한 형량은 어떻게 될지 질문드립니다.,"주식 투자로 어려움을 겪고 있는데, 법적 문제와 대응 방법에 대해 알고 싶습니다."
"안녕하세요다름이아니라 가족이라 하기도 싫지만저희집 ㅁㅊㄴ 한명이 있는데요저희 엄마 명의로 핸드폰 개통하고 몇백만원 소액결제,대출, 카드값 연체 다 만들어놨더라구요빚이 총 3천가까이 되네요.엄마말 들어보니깐엄마 살살 구슬려서 민증이랑 다 찍어보내게하고 카드나 뭐돈이란 돈을 다 빌려쓰고 신용불량 만들어놨는데이 ㅁㅊㄴ 어떻게 신고 못하나요? 뭐라고 신고해야할까요깜빵에 넣을 생각으로 신고하고 싶습니다 가족이여도 되나요?전 같은 형제입니다. 형제라하기도 쪽팔리네요.저희 엄마는 바보같이 자꾸만 미워도 자식이라고이 ㅁㅊㄴ한테 바보같이 당하고 사기당하고 결국이지경까지와서 엄마랑 상의하에 같이 신고하기로했거든요.아무리 협박해도 눈하나 꿈쩍 안하는 ㅁㅊㄴ인데어떻게해야할까요? 어떻게하면 깜방에 넣을수있을까요?그렇지않고선 이거 안끝날거같습니다.죽으라해도 안죽고 지 명의로 빚도 몇천됩니다.지 신용불량걸리니까 저희 엄마까지 신용불량 만드네요.엄마 명의로 핸드폰 개통한거랑 명의도용 차단 다 할껀데그 이후에 어떻게 해야할지 알려주세요....혹시라도 이 ㅁㅊㄴ이 깜빵 안들어가고 멀쩡하게 살면어떡하죠? 두번다신 안보고싶어요. 과거에 마약도 하던ㅁㅊㄴ인데 신고도 안됩니다 증거가 없다고... 본인 말로는끊었다하는데 아무래도 아직도 하고있는거같아요 ㅁㅊㄴ마냥쇼핑만 계속해요 일도 정상적인거 안합니다.아무튼 이 사기꾼 ㅁㅊㄴ은 저희 가족인데 신고할수 있나요?민사건 형사건 그냥 깜빵에만 좀 넣고싶네요 오랫동안.비슷한 사례 있으실까요??",저희 가족 중 한 명이 엄마 명의로 경제적 문제를 일으켰습니다. 법적 대응이 가능한지 궁금합니다. 어떻게 하면 이런 상황을 해결할 수 있을까요?
"안녕하세요.조그만 회사를 운영하는 법인대표입니다.저희가 사업확장을 위하여 투자자를 찾던중 지난해 6월 한사람을 만났습니다.그분은 자기가 투자금을 끌어와서 투자를 하겠다 하였고 그 댓가로 지분 20%를 주기로 하였습니다.거의 1년이 된 지금까지 투자는 깜깜 무소식이고 그간 투자금을 끌어오기 위하여 사용한다며 개인 카드 대여 사용, 현금 요구, 상품권 요구 등으로 총 8,000만원 가량 받아갔습니다.아직도 투자금은 들어오지를 않고 오늘내일 이러고 있습니다.(1년째)그리고 4월말엔 다음주에 투자금 끌어서 갚으면 될테니 회사 사무실 담보로 불법 사금융이라도 써라하며본인이 소개로하는 사채 2300만원을 받게하였습니다.(그 후 일부를 본인 활동비로 지원해달라며 요구를 하였고요.)이사람을 법적조치를 한다면 어떤 죄목이며 어떻게 해야 가장 크게 혼내줄수 있을지 문의 드립니다.(참고로 이사람 을 만났을 초기에 제게 신뢰를 주기위해 얼굴마담으로 형이 나왔었습니다.)형은 유명 국회의원입니다.","안녕하세요. 작은 회사를 운영하는 법인 대표입니다. 사업 확장을 위해 투자자를 찾다가 작년에 만난 한 사람에게 총 8,000만 원을 받았지만, 아직 투자가 이루어지지 않았습니다. 이 사람에게 어떻게 법적으로 대응할 수 있을까요?"
"개인돈을 빌렸는데 갚을 능력이 안되서 말도 안되는 이자로 저를 계속 괴롭히더라구요,..그래서 통장을 빌려주면 그냥 채무종결하겠다 해서 통장을 보냈는데 통지서가 날라왔습니다..서울경찰서에서 제 통장내역과 인적사항을 받아갔다는 내용입니다금융실명거래 및 비밀보장...뭐시기 하면서 이거 벌금으로 끝날란가요....",제가 돈을 빌렸는데 어려운 상황에서 높은 이자로 스트레스를 받았습니다. 통장을 빌려주면 채무가 해결된다고 해서 보냈더니 서울경찰서에서 통장내역과 인적사항을 조사했다는 통지를 받았습니다. 벌금으로 해결될 수 있을까요?
